State,District,Market,Commodity,Variety,Grade,Arrival_Date,Min_x0020_Price,Max_x0020_Price,Modal_x0020_Price
Punjab,Mohali,"Kharar APMC",Potato,Potato,Non-FAQ,12/02/2026,400,550,450
Punjab,Mohali,"Kharar APMC",Tomato,Tomato,Non-FAQ,12/02/2026,1000,2500,1500
Punjab,Mohali,"Kharar APMC","Green Chilli","Green Chilly",Local,12/02/2026,6000,7000,6500
Punjab,Mohali,"Kharar APMC",Carrot,Carrot,Local,12/02/2026,1000,1500,1200
Rajasthan,Ajmer,"Madanganj Kishangarh APMC","Bengal Gram(Gram)(Whole)",Other,Local,12/02/2026,4160,5215,4160
Rajasthan,Ajmer,"Madanganj Kishangarh APMC",Taramira,Other,Local,12/02/2026,4900,4900,4900
Rajasthan,Alwar,"Kherli APMC",Mustard,Mustard,Non-FAQ,12/02/2026,6780,6950,6865
Rajasthan,Ganganagar,"Sriganganagar (F&V) APMC",Pomegranate,Pomogranate,Medium,12/02/2026,13300,13700,13500
Rajasthan,Ganganagar,"Sriganganagar (F&V) APMC",Orange,Orange,Medium,12/02/2026,7000,7400,7200
Rajasthan,Ganganagar,"Sriganganagar (F&V) APMC","Custard Apple(Sharifa)","Custard Apple(Sharifa)",Medium,12/02/2026,5300,5700,5500
Rajasthan,Ganganagar,"Sriganganagar (F&V) APMC","Bhindi(Ladies Finger)",Bhindi,Medium,12/02/2026,6800,7200,7000
Rajasthan,Ganganagar,"Sriganganagar (F&V) APMC",Strawberry,Strawberry,"Grade A",12/02/2026,11300,11700,11500
Rajasthan,Ganganagar,"Sriganganagar (F&V) APMC","Green Chilli","Green Chilly",Medium,12/02/2026,6600,7000,6800
Rajasthan,Ganganagar,"Sriganganagar (F&V) APMC",Garlic,Garlic,"Grade Range-1",12/02/2026,11300,11700,11500
Rajasthan,Ganganagar,"Sriganganagar (F&V) APMC",Ginger(Green),"Green Ginger",Medium,12/02/2026,6500,6900,6700
Rajasthan,Ganganagar,"Sriganganagar (F&V) APMC",Cabbage,Cabbage,Medium,12/02/2026,500,900,700
Rajasthan,Ganganagar,"Sriganganagar (F&V) APMC",Carrot,Carrot,Medium,12/02/2026,800,1200,1000
Assam,Nagaon,"Ambagan APMC","Bitter gourd","Bitter Gourd",FAQ,12/02/2026,1700,1900,1800
Assam,Nagaon,"Ambagan APMC",Cauliflower,Cauliflower,FAQ,12/02/2026,1100,1300,1200
Assam,Nagaon,"Ambagan APMC","Green Chilli","Green Chilly",FAQ,12/02/2026,2500,2700,2600
Assam,Nagaon,"Ambagan APMC",Pumpkin,Pumpkin,FAQ,12/02/2026,900,1150,1050
Assam,Nagaon,"Ambagan APMC",Raddish,Raddish,FAQ,12/02/2026,800,1000,900
Assam,Nagaon,"Haibargaon APMC",Tomato,Tomato,FAQ,12/02/2026,2500,2700,2600
"Tamil Nadu",Dharmapuri,"Karimangalam(Uzhavar Sandhai)",Cabbage,Cabbage,Local,12/02/2026,2600,2800,2700
"Tamil Nadu",Dharmapuri,"Karimangalam(Uzhavar Sandhai)",Pumpkin,Pumpkin,Local,12/02/2026,1200,1500,1350
"Tamil Nadu",Salem,"Mecheri(Uzhavar Sandhai)","Sweet Potato","Hosur Red",Local,12/02/2026,3500,4000,3750
"Tamil Nadu",Salem,"Mecheri(Uzhavar Sandhai)",Cabbage,Cabbage,Local,12/02/2026,3000,3500,3250
"Tamil Nadu",Salem,"Mecheri(Uzhavar Sandhai)",Garlic,Average,Local,12/02/2026,12000,14000,13000
"Tamil Nadu",Salem,"Mecheri(Uzhavar Sandhai)",Chikoos(Sapota),Sapota,Local,12/02/2026,3500,4000,3750
"Tamil Nadu",Salem,"Mecheri(Uzhavar Sandhai)",Amaranthus,Amaranthus,Local,12/02/2026,2000,2400,2200
"Tamil Nadu",Salem,"Mecheri(Uzhavar Sandhai)",Drumstick,Drumstick,Local,12/02/2026,4000,5000,4500
"Tamil Nadu",Salem,"Mecheri(Uzhavar Sandhai)","Indian Beans(Seam)","Indian Beans (Seam)",Local,12/02/2026,5500,6000,5750
"Tamil Nadu",Salem,"Mecheri(Uzhavar Sandhai)",Lemon,Lemon,Local,12/02/2026,4000,5000,4500
"Tamil Nadu",Vellore,"Pallikonda(Uzhavar Sandhai)","Sweet Potato","Hosur Red",Local,12/02/2026,2500,2800,2650
"Tamil Nadu",Vellore,"Pallikonda(Uzhavar Sandhai)",Cauliflower,Ranchi,Local,12/02/2026,2500,2500,2500
"Tamil Nadu",Vellore,"Pallikonda(Uzhavar Sandhai)","Bottle gourd","Bottle Gourd",Local,12/02/2026,2200,2200,2200
"Tamil Nadu",Vellore,"Pallikonda(Uzhavar Sandhai)","Green Chilli","Green Chilly",Local,12/02/2026,5000,5000,5000
"Tamil Nadu",Vellore,"Pallikonda(Uzhavar Sandhai)",Ginger(Green),"Green Ginger",Local,12/02/2026,7000,7000,7000
"Tamil Nadu",Vellore,"Perampet(Uzhavar Sandhai)","Sweet Potato","Hosur Red",Local,12/02/2026,3500,3500,3500
"Tamil Nadu",Vellore,"Perampet(Uzhavar Sandhai)",Cabbage,Cabbage,Local,12/02/2026,2800,2800,2800
"Tamil Nadu",Vellore,"Perampet(Uzhavar Sandhai)",Chikoos(Sapota),Sapota,Local,12/02/2026,3000,3000,3000
"Tamil Nadu",Vellore,"Perampet(Uzhavar Sandhai)",Tomato,Deshi,Local,12/02/2026,1600,1800,1700
"Tamil Nadu",Vellore,"Perampet(Uzhavar Sandhai)",Ashgourd,Gouard,Local,12/02/2026,2000,2000,2000
"Tamil Nadu",Vellore,"Perampet(Uzhavar Sandhai)",Cowpea(Veg),"Cowpea (Veg)",Local,12/02/2026,4500,4500,4500
"Tamil Nadu",Vellore,"Perampet(Uzhavar Sandhai)","Chow Chow","Chow Chow",Local,12/02/2026,3000,3000,3000
"Tamil Nadu",Vellore,"Perampet(Uzhavar Sandhai)",Guava,"Guava Allahabad",Local,12/02/2026,4000,4000,4000
"Tamil Nadu",Vellore,"Perampet(Uzhavar Sandhai)","Tender Coconut","Tender Coconut",Local,12/02/2026,2500,2500,2500
"Tamil Nadu",Vellore,"Perampet(Uzhavar Sandhai)",Mint(Pudina),Mint(Pudina),Local,12/02/2026,3500,3500,3500
"Tamil Nadu",Pudukkottai,"Ponnamaravathi(Uzhavar Sandhai)",Banana,Besrai,Local,12/02/2026,7500,8000,7750
"Tamil Nadu",Pudukkottai,"Ponnamaravathi(Uzhavar Sandhai)",Onion,Bellary,Local,12/02/2026,2500,3000,2750
"Tamil Nadu",Pudukkottai,"Ponnamaravathi(Uzhavar Sandhai)",Papaya,Papaya,Local,12/02/2026,2500,3000,2750
"Tamil Nadu",Pudukkottai,"Ponnamaravathi(Uzhavar Sandhai)",Amaranthus,Amaranthus,Local,12/02/2026,1500,2000,1750
"Tamil Nadu",Pudukkottai,"Ponnamaravathi(Uzhavar Sandhai)","Green Avare(W)","Avare (W)",Local,12/02/2026,3500,4000,3750
"Tamil Nadu",Pudukkottai,"Ponnamaravathi(Uzhavar Sandhai)",Lime,Lime,Local,12/02/2026,1500,2000,1750
"Tamil Nadu",Salem,"Vazhapadi(Uzhavar Sandhai)",Onion,Bellary,Local,12/02/2026,3000,3200,3100
"Tamil Nadu",Salem,"Vazhapadi(Uzhavar Sandhai)",Chikoos(Sapota),Sapota,Local,12/02/2026,3800,4000,3900
"Tamil Nadu",Salem,"Vazhapadi(Uzhavar Sandhai)","Cluster beans","Cluster Beans",Local,12/02/2026,4200,4500,4350
"Tamil Nadu",Salem,"Vazhapadi(Uzhavar Sandhai)","Bottle gourd","Bottle Gourd",Local,12/02/2026,1000,1500,1250
"Tamil Nadu",Salem,"Vazhapadi(Uzhavar Sandhai)",Tapioca,Tapioca,Local,12/02/2026,2800,3000,2900
